X;Y;Clay.gkg;OM.gkg
-47.40405537;-22.83744736;260;19.1
-47.417634;-22.85045277;366;22.9
-47.42400775;-22.84958786;450;23.5
-47.42722003;-22.84818992;447;27.4
-47.42710105;-22.84491816;448;22.3
-47.42653593;-22.83935617;246;18.7
-47.43209792;-22.84381766;513;21.9
-47.43489379;-22.84798172;455;24.3
-47.42394827;-22.85300833;597;20.3
-47.42174727;-22.84896325;409;21.7
-47.42216367;-22.8447397;506;21.7
-47.42287751;-22.84069462;388;18.3
-47.42159855;-22.83873156;275;18.9
-47.43514958;-22.85105122;506;14.4
-47.42859179;-22.8407196;481;24.7
-47.45567481;-22.85472868;522;37.1
-47.45196285;-22.85010301;559;26.2
-47.45047807;-22.84604841;466;26.8
-47.43831426;-22.8476474;522;20.1
-47.45204299;-22.85527212;436;24.1
-47.45460728;-22.8490235;503;24.7
-47.45257353;-22.85892697;487;24.3
-47.44956712;-22.86331869;521;28.6
-47.45236721;-22.86638405;522;33.2
-47.45625786;-22.85951646;574;30.4
-47.45631681;-22.86544086;610;29.6
-47.45631681;-22.85176464;515;19.5
-47.41703992;-22.87940435;133;12.4
-47.41898711;-22.88270945;197;13.6
-47.41967887;-22.88714186;174;13.8
-47.4303884;-22.88560461;110;11.8
-47.42580226;-22.88588644;198;17.1
-47.42646841;-22.88375991;210;14.7
-47.42431625;-22.87796958;343;20.7
-47.42926108;-22.8783539;202;15.3
-47.42767259;-22.87584305;277;22.9
-47.42272776;-22.88091599;339;19.5
-47.43346291;-22.88416984;363;21.7
-47.42685272;-22.88117219;267;16.1
-47.43282239;-22.87940435;405;21.7
-47.43008095;-22.88209455;243;21.7
-47.42874867;-22.88686003;95;14
-47.42172854;-22.88650134;349;22.1
-47.42429063;-22.87502318;284;13
-47.42081663;-22.87916233;274;16.9
-47.40538946;-22.88369787;168;12.8
-47.41363034;-22.88270716;327;23.7
-47.40962248;-22.87451131;215;17.9
-47.4022372;-22.87361066;129;12.2
-47.39980547;-22.87325041;90;7.2
-47.40822648;-22.88775077;252;22.5
-47.41376544;-22.88599451;124;18.1
-47.41714285;-22.88576935;142;13.4
-47.40732584;-22.881086;147;12.6
-47.40399346;-22.8759073;104;11.6
-47.40210211;-22.87878936;236;15.9
-47.40457888;-22.89288443;182;14.2
-47.39409845;-22.8897179;142;17.3
-47.40044829;-22.89375242;233;14.2
-47.40403443;-22.88927364;134;10
-47.40209184;-22.88896443;143;13
-47.41087146;-22.88293663;354;22.3
-47.40657993;-22.87422253;128;11.2
-47.40671097;-22.87133967;122;12.2
-47.40235392;-22.87061895;129;13.8
-47.41286981;-22.87520532;363;27.2
-47.41087146;-22.87743299;298;20.1
-47.40540058;-22.87818646;182;11.6
-47.40330287;-22.88266951;150;16.3
-47.38734066;-22.90055116;472;19.5
-47.38655543;-22.89485235;83;9
-47.38387854;-22.89591121;148;15.7
-47.3906957;-22.89780288;215;20.1
-47.3884828;-22.89798134;55;8.4
-47.39380089;-22.89619675;182;18.1
-47.3915523;-22.89412662;94;8.6
-47.40051097;-22.89488804;391;26.4
-47.39765562;-22.90159812;241;16.5
-47.39522857;-22.89334139;161;25.6
-47.39830283;-22.89773769;267;23.5
-47.40079651;-22.89828972;262;17.9
-47.39653251;-22.89073255;177;19.1
-47.39603759;-22.89901308;294;26.2
-47.38896226;-22.89408759;70;19.9
-47.39199607;-22.89129173;132;13.6
